sku_code,sku_name,unit,sku_type,is_serial_tracked,warranty_applicable,published_to_app,power_or_voltage,specification
DCPL02-8,Khoan và siết DC – DCPL02-8,cái,PRODUCT,false,true,true,Pin,"{""machine_code"":""DCPL02-8"",""machine_category"":""Khoan và siết DC"",""features"":""kiểm soát hoàn hảo trong không gian hẹp 1. Điều chỉnh mô-men xoắn 3 cấp và bộ bit 50mm, đáp ứng nhiều ứng dụng; 2. Thân máy nhỏ gọn, dễ sử dụng và mang theo; 3. Giao diện sạc Type-C phổ biến; 4. Đèn LED đôi, dễ vận hành ở nơi tối; 5. Tay cầm cao su, thoải mái khi cầm."",""package_accessories"":""Cáp Type-C, Bộ vít và hộp nhựa Chế độ tự khoan tạo khởi động nhẹ và gia tốc hoàn hảo để bạn siết vít với vị trí chính xác DCPL04-8 so với DCPL02-8"",""power_source"":""Pin"",""power"":""250W"",""capacity"":""Lục giác 6.35mm cung cấp mô-men xoắn lên tới 140 N.m Kích thước bu lông chuẩn M5-M14 Mô-men siết tối đa 140 N.m *chế độ"",""max_torque"":""lên tới 140 N.m"",""weight"":"""",""function_icons"":""Không chổi than; Đèn LED; Kiểm soát mô-men xoắn; Cơ cấu số tốc độ"",""usage"":""Khoan, khoan búa, tạo lỗ hoặc phá dỡ theo cấu hình máy."",""field"":""Xây dựng / cơ khí / bảo trì (phân loại tham khảo)"",""audience"":""Thợ chuyên nghiệp; kỹ thuật viên; đội bảo trì"",""pdf_page"":13,""catalog_page"":3,""source"":""DongCheng 2026 catalog import from Excel""}"
DCPL04-5,Dụng cụ vít dùng pin,cái,PRODUCT,false,true,true,Pin,"{""machine_code"":""DCPL04-5"",""machine_category"":""Khoan và siết DC"",""features"":""kiểm soát hoàn hảo trong không gian hẹp 1. Điều chỉnh mô-men xoắn 3 cấp và bộ bit 50mm, đáp ứng nhiều ứng dụng; 2. Thân máy nhỏ gọn, dễ sử dụng và mang theo; 3. Giao diện sạc Type-C phổ biến; 4. Đèn LED đôi, dễ vận hành ở nơi tối; 5. Tay cầm cao su, thoải mái khi cầm."",""package_accessories"":""Cáp Type-C, Bộ vít và hộp nhựa Chế độ tự khoan tạo khởi động nhẹ và gia tốc hoàn hảo để bạn siết vít với vị trí chính xác"",""power_source"":""Pin"",""power"":"""",""capacity"":"""",""max_torque"":"""",""weight"":"""",""function_icons"":""Đèn LED; Kiểm soát mô-men xoắn"",""usage"":""Khoan, khoan búa, tạo lỗ hoặc phá dỡ theo cấu hình máy."",""field"":""Xây dựng / cơ khí / bảo trì (phân loại tham khảo)"",""audience"":""Thợ chuyên nghiệp; kỹ thuật viên; đội bảo trì"",""pdf_page"":13,""catalog_page"":3,""source"":""DongCheng 2026 catalog import from Excel""}"
DCPL04-8,Khoan và siết DC – DCPL04-8,cái,PRODUCT,false,true,true,Pin,"{""machine_code"":""DCPL04-8"",""machine_category"":""Khoan và siết DC"",""features"":"""",""package_accessories"":"""",""power_source"":""Pin"",""power"":"""",""capacity"":"""",""max_torque"":""tới 45N·m"",""weight"":"""",""function_icons"":""Không chổi than; Đèn LED; Kiểm soát mô-men xoắn; Cơ cấu số tốc độ"",""usage"":""Khoan, khoan búa, tạo lỗ hoặc phá dỡ theo cấu hình máy."",""field"":""Xây dựng / cơ khí / bảo trì (phân loại tham khảo)"",""audience"":""Thợ chuyên nghiệp; kỹ thuật viên; đội bảo trì"",""pdf_page"":13,""catalog_page"":3,""source"":""DongCheng 2026 catalog import from Excel""}"
DCPL05-8,Khoan và siết DC – DCPL05-8,cái,PRODUCT,false,true,true,Pin,"{""machine_code"":""DCPL05-8"",""machine_category"":""Khoan và siết DC"",""features"":"""",""package_accessories"":"""",""power_source"":""Pin"",""power"":"""",""capacity"":"""",""max_torque"":"""",""weight"":"""",""function_icons"":""Không chổi than; Cơ cấu số tốc độ"",""usage"":""Khoan, khoan búa, tạo lỗ hoặc phá dỡ theo cấu hình máy."",""field"":""Xây dựng / cơ khí / bảo trì (phân loại tham khảo)"",""audience"":""Thợ chuyên nghiệp; kỹ thuật viên; đội bảo trì"",""pdf_page"":13,""catalog_page"":3,""source"":""DongCheng 2026 catalog import from Excel""}"
DCPL16-162,Khoan và siết DC – DCPL16-162,cái,PRODUCT,false,true,true,Pin,"{""machine_code"":""DCPL16-162"",""machine_category"":""Khoan và siết DC"",""features"":"""",""package_accessories"":"""",""power_source"":""Pin"",""power"":""270W"",""capacity"":""6.35mm Hex DCPL16-162 0-2400/ 16VMAX 162 0.9 1 tự khoan (self-tapping) Thiết lập mô-men xoắn 18+1 0-3200 chế độ Tốc độ k"",""max_torque"":"""",""weight"":"""",""function_icons"":"""",""usage"":""Khoan, khoan búa, tạo lỗ hoặc phá dỡ theo cấu hình máy."",""field"":""Xây dựng / cơ khí / bảo trì (phân loại tham khảo)"",""audience"":""Thợ chuyên nghiệp; kỹ thuật viên; đội bảo trì"",""pdf_page"":13,""catalog_page"":3,""source"":""DongCheng 2026 catalog import from Excel""}"
DCPL16-162S,Khoan và siết DC – DCPL16-162S,cái,PRODUCT,false,true,true,Pin,"{""machine_code"":""DCPL16-162S"",""machine_category"":""Khoan và siết DC"",""features"":"""",""package_accessories"":"""",""power_source"":""Pin"",""power"":"""",""capacity"":"""",""max_torque"":""45N.m"",""weight"":""1.0/1.0/0.7kg"",""function_icons"":"""",""usage"":""Khoan, khoan búa, tạo lỗ hoặc phá dỡ theo cấu hình máy."",""field"":""Xây dựng / cơ khí / bảo trì (phân loại tham khảo)"",""audience"":""Thợ chuyên nghiệp; kỹ thuật viên; đội bảo trì"",""pdf_page"":13,""catalog_page"":3,""source"":""DongCheng 2026 catalog import from Excel""}"
DCPL165,Khoan và siết DC – DCPL165,cái,PRODUCT,false,true,true,Pin,"{""machine_code"":""DCPL165"",""machine_category"":""Khoan và siết DC"",""features"":"""",""package_accessories"":""0-1200/ 125mm 3"",""power_source"":""Pin"",""power"":"""",""capacity"":"""",""max_torque"":"""",""weight"":"""",""function_icons"":""Cơ cấu số tốc độ"",""usage"":""Khoan, khoan búa, tạo lỗ hoặc phá dỡ theo cấu hình máy."",""field"":""Xây dựng / cơ khí / bảo trì (phân loại tham khảo)"",""audience"":""Thợ chuyên nghiệp; kỹ thuật viên; đội bảo trì"",""pdf_page"":13,""catalog_page"":3,""source"":""DongCheng 2026 catalog import from Excel""}"
DCPL198,Khoan và siết DC – DCPL198,cái,PRODUCT,false,true,true,Pin,"{""machine_code"":""DCPL198"",""machine_category"":""Khoan và siết DC"",""features"":"""",""package_accessories"":"""",""power_source"":""Pin"",""power"":"""",""capacity"":"""",""max_torque"":"""",""weight"":"""",""function_icons"":""Cơ cấu số tốc độ"",""usage"":""Khoan, khoan búa, tạo lỗ hoặc phá dỡ theo cấu hình máy."",""field"":""Xây dựng / cơ khí / bảo trì (phân loại tham khảo)"",""audience"":""Thợ chuyên nghiệp; kỹ thuật viên; đội bảo trì"",""pdf_page"":13,""catalog_page"":3,""source"":""DongCheng 2026 catalog import from Excel""}"
DCPL2045,Máy vặn vít dùng nguồn pin và động cơ không,cái,PRODUCT,false,true,true,Pin,"{""machine_code"":""DCPL2045"",""machine_category"":""Khoan và siết DC"",""features"":""LED (Loại ADM) 2.0Ah×1, Sạc 2A (Loại AM) 2.0Ah×2, Sạc 2A (Loại Z) Solo, Bao bì hộp màu 1. Động cơ không chổi than, cho mô-men xoắn tới 45N·m; MÔ HÌNH SẢN PHẨM HÌNH ẢNH KHÔNG TẢI"",""package_accessories"":"""",""power_source"":""Pin"",""power"":""270W"",""capacity"":""6 35mm Hex CÔNG CỤ KHÔNG DÂY CÔNG CỤ KHÔNG DÂY"",""max_torque"":""tới 45N·m"",""weight"":"""",""function_icons"":""Không chổi than; Đèn LED; Kiểm soát mô-men xoắn; Cơ cấu số tốc độ"",""usage"":""Khoan, khoan búa, tạo lỗ hoặc phá dỡ theo cấu hình máy."",""field"":""Xây dựng / cơ khí / bảo trì (phân loại tham khảo)"",""audience"":""Thợ chuyên nghiệp; kỹ thuật viên; đội bảo trì"",""pdf_page"":13,""catalog_page"":3,""source"":""DongCheng 2026 catalog import from Excel""}"
DCPL208,Khoan và siết DC – DCPL208,cái,PRODUCT,false,true,true,Pin,"{""machine_code"":""DCPL208"",""machine_category"":""Khoan và siết DC"",""features"":"""",""package_accessories"":"""",""power_source"":""Pin"",""power"":""250W"",""capacity"":""Lục giác 6.35mm cung cấp mô-men xoắn lên tới 140 N.m Kích thước bu lông chuẩn M5-M14 Mô-men siết tối đa 140 N.m *chế độ"",""max_torque"":""lên tới 140 N.m"",""weight"":"""",""function_icons"":""Không chổi than; Cơ cấu số tốc độ"",""usage"":""Khoan, khoan búa, tạo lỗ hoặc phá dỡ theo cấu hình máy."",""field"":""Xây dựng / cơ khí / bảo trì (phân loại tham khảo)"",""audience"":""Thợ chuyên nghiệp; kỹ thuật viên; đội bảo trì"",""pdf_page"":13,""catalog_page"":3,""source"":""DongCheng 2026 catalog import from Excel""}"
DCPB04-10,Khoan và siết DC – DCPB04-10,cái,PRODUCT,false,true,true,Pin,"{""machine_code"":""DCPB04-10"",""machine_category"":""Khoan và siết DC"",""features"":"""",""package_accessories"":"""",""power_source"":""Pin"",""power"":"""",""capacity"":"""",""max_torque"":"""",""weight"":"""",""function_icons"":"""",""usage"":""Khoan, khoan búa, tạo lỗ hoặc phá dỡ theo cấu hình máy."",""field"":""Xây dựng / cơ khí / bảo trì (phân loại tham khảo)"",""audience"":""Thợ chuyên nghiệp; kỹ thuật viên; đội bảo trì"",""pdf_page"":18,""catalog_page"":13,""source"":""DongCheng 2026 catalog import from Excel""}"
