pv_id,designer_surface,designer_reference,target_entrypoint,current_status,planned_direction,dependency_or_conflict,test_evidence_required,decision_ids
PV-01,Home,"app/preview/page.tsx; components/product-preview.tsx; preview-home.tsx",src/pages/index.tsx,implemented-different-ui,"Restyle shell hero search domains category/product previews without replacing public DTO data","Hero artwork and fixed design data are not approved runtime assets/data","approved fixture or public data; locked viewport/DPR screenshot; Home interaction and accessibility",D03|D05|D07
PV-02,Group/category,"components/product-group-browser.tsx; preview-catalog.tsx",src/pages/category.tsx,implemented-different-ui,"Map the three design groups to DTO domain codes and preserve query navigation","Designer names must remain aligned to POWER_TOOLS/HAND_TOOLS/ACCESSORIES","domain/category API fixture; query/back/scroll tests",D07
PV-03,Catalog,"components/preview-catalog.tsx; preview-products.tsx; preview-virtual-products.tsx",src/pages/product-list.tsx; src/components/catalogue/product-grid.tsx,implemented-different-ui,"Restyle public cards/grid and keep opaque cursor paging","Progressive local batches differ from API cursor; 2-col virtualizer conflicts with source's 4-col desktop claim","cursor/race/dedupe tests; mobile and desktop layouts; >=80 product measurement",D06|D07|D08
PV-04,Filter/sort,"components/preview-catalog.tsx; preview-primitives.tsx",src/components/catalogue/filter-sheet.tsx; /filters,implemented-different-ui,"Use design sheet treatment while preserving facet/API query serialization","No new hard-coded filter/status contract","facet fixture; draft/apply/reset/back tests; modal scroll test",D06|D07
PV-05,Search,"components/preview-catalog.tsx; preview-motion.tsx",src/pages/search.tsx,implemented-different-ui,"Preserve target query race protections and replace visual/interaction treatment only after contract review","Designer uses 220ms and IME/Enter behavior; target uses 300ms and current API contract","IME composition; exact model; debounce/race; focus geometry; back preservation",D06|D07
PV-06,Detail,"components/preview-detail.tsx; product-preview.tsx",src/pages/product-detail.tsx; src/components/catalogue/product-detail-template.tsx,implemented-different-ui,"Restyle media/identity/spec/related presentation from public DTO","Only public variant/media/related fields may render","public detail fixture; deep link/back; optional field and related tests",D03|D07
PV-07,Large image,"components/preview-detail.tsx; product-preview.css",src/pages/gallery.tsx; src/components/catalogue/product-gallery.tsx,implemented-partial,"Retain deep-link route and add viewer behavior only for supplied media","Designer 100-300% modal is not target route behavior; media ownership must remain public","single/multi-image; zoom controls; route/back; image failure tests",D03|D06|D07
PV-08,Contact,"components/preview-contact.tsx",src/pages/foundation-screen.tsx route contact,implemented-partial,"Restyle contact channel layout using public config","Contact channels require real config, not source literals","config variants; unavailable state; safe action/device audit",D03|D07
PV-09,Call/OA handoff,"components/preview-contact.tsx; lib/preview-request.ts",src/services/contact-config.ts; src/services/phone-dialer.ts,implemented-partial,"Keep native handoff, config gating and browser fallback","No official OA/hotline or device verification is available","tel/OA config tests; physical Zalo iOS/Android checks",D03|D07
PV-10,Quote request,"components/preview-request.tsx; lib/preview-request.ts",src/pages/quote-request.tsx; src/services/quote-service.ts,implemented-single-product,"Migrate to one 1..20-item request only after the claimed v1.1 OpenAPI and variant field are verified","Current DTO is single-product; quantity is a consultation detail only; idempotency order rule conflicts","verified schema; line-error tests; validation; manual retry/idempotency tests",D01|D02
PV-11,Request receipt,"components/preview-request.tsx; lib/preview-request.ts",src/pages/quote-request.tsx,implemented-single-product,"Present receipt from 201 acceptance or 200 same-key replay; preserve client selection because response has no item list","Claimed v1.1 response has request_id/RECEIVED only but has not been verified locally","accepted/replay/error/retry tests against authoritative response",D01|D02|D04
PV-12,Information use/consent,"components/preview-request.tsx; PREVIEW_SCREEN_PLAN.md",src/pages/quote-request.tsx; PublicConfigDto,implemented-partial,"Use final approved consent text plus separate privacy_version and privacy_policy_url from public config","Proposed consent text is expressly not official; config privacy-version shape is unresolved","approved legal copy/version; consent/config-missing/privacy-change tests",D02|D03
PV-13,Recently viewed,"components/preview-library-screens.tsx; lib/preview-library.ts",none in src/routes.ts,not-routed,"Add only if persistence semantics are approved; store IDs and re-resolve current data","Retention, storage and 30-ID limit not in target scope/contract","retention/clear tests; stale/missing product behavior",D04|D07
PV-14,Saved products,"components/preview-library-screens.tsx; lib/preview-library.ts",none in src/routes.ts,not-routed,"Add only if local ID persistence and 100-ID limit are approved","Must not create offline catalogue or carry PII","persistence/limit/clear/stale data tests",D04|D07
PV-15,Guide/FAQ,"components/preview-library-screens.tsx",none in src/routes.ts,not-routed,"Add approved customer guidance only","Designer source text is not automatically approved operational/legal copy","content approval; route/navigation/accessibility",D03|D04
PV-16,Multi-product selection,"components/preview-library-screens.tsx; preview-request.tsx",none in src/routes.ts,not-routed,"Implement one request containing 1..20 unique items only after claimed v1.1 schema/variant location is verified","No fan-out/first-item/note-list fallback; optional quantity is not inventory/cart","selection/line validation/one-product compatibility/receipt tests",D01|D04
PV-17,Request review,"components/preview-library-screens.tsx; lib/preview-request.ts",none in src/routes.ts,not-routed,"May be in-memory receipt only if retention semantics are approved","Must not become order tracking or server history","same-session receipt/remove/reload behavior tests",D04|D07
PV-18,Compare,"components/preview-library-screens.tsx; lib/preview-library.ts",none in src/routes.ts,not-routed,"May compare 2-3 same-category public products if supported data is complete","Need selection/persistence boundary and no invented specifications","category limit; missing-spec fallback; mobile horizontal-scroll tests",D04|D07
