sku_code,product_name,available_qty,item_qr_count,warehouse,data_as_of
HN-PV-BASE-001,SKU baseline Hòa Nam,42,2,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
HN-PV-BASE-004,Máy Khoan,1,1,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
HN-PRD-SEED-001,Máy bơm PV mẫu Hòa Nam,4,4,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
DCPL02-8,Khoan và siết DC – DCPL02-8,1,1,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
DCPB04-10,Khoan và siết DC – DCPB04-10,1,1,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
DCPB05-10,Khoan và siết DC – DCPB05-10,1,1,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
DCPB1218,Khoan và siết DC – DCPB1218,1,1,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
DCPB698,Khoan và siết DC – DCPB698,1,1,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
DCPB80,Khoan và siết DC – DCPB80,1,1,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
DCPB968,Khoan và siết DC – DCPB968,1,1,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
DCJZ02-16,Khoan và siết DC – DCJZ02-16,1,1,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
DCJZ03-13,Khoan và siết DC – DCJZ03-13,1,1,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
DCJZ05-13,Khoan và siết DC – DCJZ05-13,1,1,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
DCJZ06-13,Khoan và siết DC – DCJZ06-13,1,1,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
DCJZ1202,Khoan và siết DC – DCJZ1202,1,1,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
DCJZ20160,Khoan và siết DC – DCJZ20160,1,1,Kho tổng Hòa Nam,2026-08-23T16:32:30+07:00
